title,review_count,review_share,recommended_proportion,average_hours_played,median_hours_played,review_span_days,helpful_vote_share,helpful_review_proportion,average_helpful_per_review,raw_average_sentiment,helpful_weighted_sentiment,sentiment_label_balance,unshrunk_sentiment_score,sentiment_confidence,game_sentiment_score,sentiment_positive_share,sentiment_negative_share,sentiment_neutral_share,average_review_length,first_review,last_review,early_access_review_share,opportunity_rank,opportunity_tier,final_score,approval_score,engagement_score,evidence_score,longevity_score,review_quality_score,risk_flag_low_review_count,risk_flag_short_review_span,risk_flag_mixed_approval,risk_flag_count
Terraria,239,0.01635082438256824,1.0,430.765690376569,283.0,2764,0.05122445221874425,0.17154811715481172,11.640167364016737,0.5522330543933054,0.5893636151382898,0.7615062761506276,0.6410064134419912,0.9053030303030303,0.6140821616480822,0.8368200836820083,0.07531380753138076,0.08786610878661087,243.05857740585773,2011-05-31,2018-12-24,0.0,1,Priority Target,0.8480675751829869,0.9421123242472123,1.0,0.5454545454545454,0.9545454545454546,0.3211106884747052,False,False,False,0
Rust,2291,0.1567353082027776,0.6643387167175906,494.6922741161065,171.0,1887,0.010145461241023753,0.07507638585770406,0.24050632911392406,0.23271274552597118,0.22322291465297772,0.3295504146660847,0.2551211646569098,0.9892055267702936,0.25621750694794393,0.5870798777826277,0.257529463116543,0.15539065910082933,214.08380619816674,2013-12-11,2019-02-10,0.7891750327367961,2,Priority Target,0.746980842550345,0.6031205352521436,0.8181818181818182,0.9545454545454546,0.9090909090909091,0.0814094678782588,False,False,True,1
Grand Theft Auto V,2174,0.1487309297393446,0.6320147194112236,288.9397424103036,182.0,1405,0.020254096851408582,0.09383624655013799,0.5059797608095676,0.2544503219871205,0.24667559797149616,0.3532658693652254,0.2786526793896149,0.988631195998181,0.27953982849271514,0.5800367985280589,0.22677092916283348,0.19319227230910763,181.2838086476541,2015-04-13,2019-02-16,0.0,3,Priority Target,0.741878943780847,0.5791434857734472,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.14721083883917369,False,False,True,1
Euro Truck Simulator 2,331,0.02264486556748991,1.0,206.74924471299093,96.0,1621,0.03991898361259436,0.22356495468277945,6.549848942598187,0.5599099697885196,0.5269585849203412,0.7885196374622356,0.6054269006829095,0.9297752808988764,0.5879591628890474,0.8429003021148036,0.054380664652567974,0.1027190332326284,206.80664652567975,2013-02-15,2017-07-25,0.0,4,Priority Target,0.7264384410557947,0.9381938744333571,0.5454545454545454,0.5909090909090909,0.8636363636363636,0.27959351826421314,False,False,False,0
PLAYERUNKNOWN'S BATTLEGROUNDS,2539,0.17370185400560992,0.6833398975974794,358.6652225285545,234.0,692,0.011287055790830417,0.08349743993698307,0.24143363528948406,0.24082497046081136,0.23013098755032954,0.3418668767231194,0.2636517543021665,0.9902496099843994,0.26455887754900875,0.5947223316266247,0.2528554549035053,0.15242221346987003,187.22174084285152,2017-03-23,2019-02-13,0.5049231981094919,5,Priority Target,0.7224151565319553,0.6205227445902088,0.9545454545454546,1.0,0.4090909090909091,0.10464391850764437,False,False,True,1
Factorio,158,0.010809331600191558,1.0,389.46835443037975,176.5,949,0.06354262566746456,0.37341772151898733,21.841772151898734,0.470829746835443,0.4577033653474084,0.6329113924050633,0.5102657734647049,0.8633879781420765,0.48928497305946006,0.7468354430379747,0.11392405063291139,0.13924050632911392,301.72151898734177,2016-02-25,2018-10-01,1.0,6,Priority Target,0.6980263563675548,0.923392745958919,0.8636363636363636,0.22727272727272727,0.5909090909090909,0.4967779056386651,False,False,False,0
Left 4 Dead 2,202,0.013819525210371485,0.995049504950495,310.6287128712871,82.5,2950,0.09046216166451851,0.17326732673267325,24.321782178217823,0.4767009900990099,0.45339544939543397,0.6782178217821783,0.5208421611114573,0.8898678414096917,0.5027633233787321,0.7673267326732673,0.0891089108910891,0.14356435643564355,120.7128712871287,2010-12-20,2019-01-17,0.0,7,Strong Candidate,0.6794385038203178,0.9212065777147306,0.45454545454545453,0.36363636363636365,1.0,0.413051305130513,False,False,False,0
Rocket League®,1773,0.12129711979202298,0.6057529610829103,399.2938522278624,165.0,1317,0.009003866691217086,0.09475465313028765,0.27580372250423013,0.29772515510434294,0.2728007773774119,0.4066553863508178,0.31295716006943364,0.9860956618464961,0.31356518501977954,0.6215454032712916,0.21489001692047377,0.16356457980823463,176.86068809926678,2015-07-07,2019-02-13,0.0,8,Strong Candidate,0.6781526813659765,0.5619247946734407,0.7727272727272727,0.8636363636363636,0.7272727272727273,0.12958006460544533,False,False,True,1
Slay the Spire,231,0.01580351645344462,0.9913419913419913,147.04329004329006,107.0,409,0.04087645000920641,0.021645021645021644,9.61038961038961,0.5907415584415584,0.6113522245773986,0.8051948051948052,0.6695049987626205,0.90234375,0.6389562991274341,0.8614718614718615,0.05627705627705628,0.08225108225108226,222.7229437229437,2017-12-10,2019-01-23,0.9913419913419913,9,Strong Candidate,0.6575278896868743,0.9384841375098077,0.6590909090909091,0.5,0.36363636363636365,0.19480519480519481,False,False,False,0
RimWorld,184,0.012588082369843333,1.0,248.71195652173913,130.5,910,0.04962253728595102,0.03260869565217391,14.646739130434783,0.3321467391304348,0.21329033294606403,0.5,0.2993032330622448,0.8803827751196173,0.30616723801871226,0.6739130434782609,0.17391304347826086,0.15217391304347827,237.1576086956522,2016-07-15,2019-01-11,0.9402173913043478,10,Strong Candidate,0.6536429499564567,0.8959250857028068,0.7272727272727273,0.3181818181818182,0.5454545454545454,0.25592885375494073,False,False,False,0
Subnautica,204,0.01395635219265239,1.0,92.30392156862744,60.0,1369,0.09035168477260173,0.1323529411764706,24.05392156862745,0.5979990196078431,0.5022019800783017,0.7352941176470589,0.5721296213489289,0.8908296943231441,0.5486096096840144,0.8431372549019608,0.10784313725490197,0.049019607843137254,375.97058823529414,2015-04-16,2019-01-14,0.20098039215686275,11,Strong Candidate,0.6334544109255231,0.9322914414526021,0.36363636363636365,0.4090909090909091,0.7727272727272727,0.3703208556149733,False,False,False,0
Stardew Valley,183,0.01251966887870288,1.0,124.64480874316939,91.0,1054,0.07328300497146013,0.13114754098360656,21.74863387978142,0.6088295081967213,0.6408455254037909,0.7923497267759563,0.6862967858154405,0.8798076923076923,0.6466801426282857,0.8415300546448088,0.04918032786885246,0.1092896174863388,322.60109289617486,2016-02-26,2019-01-15,0.0,12,Watchlist,0.6299305882629478,0.9470020213942428,0.5,0.2727272727272727,0.6818181818181818,0.33323397913561853,False,False,False,0
Dead by Daylight,1034,0.0707395498392283,0.6305609284332688,250.3413926499033,97.0,970,0.0036825630638924692,0.06963249516441006,0.19342359767891681,0.21247553191489363,0.18962440472712397,0.2998065764023211,0.2226790562296831,0.9763928234183191,0.22584258923885753,0.5967117988394585,0.29690522243713735,0.10638297872340426,275.08123791102514,2016-06-14,2019-02-09,0.0,13,Watchlist,0.6092648597261425,0.5698531775541071,0.5909090909090909,0.8181818181818182,0.6363636363636364,0.05996131528046422,False,False,True,1
ASTRONEER,577,0.03947458438804132,0.8613518197573656,52.500866551126514,28.0,790,0.09782728779230344,0.008665511265164644,9.207972270363951,0.5898214904679376,0.6038095085483323,0.7521663778162911,0.6483165693287198,0.9584717607973422,0.6362056783473906,0.8457538994800693,0.09358752166377816,0.060658578856152515,354.1421143847487,2016-12-15,2019-02-13,0.9220103986135182,14,Watchlist,0.5594583843744637,0.8275798985458694,0.22727272727272727,0.6818181818181818,0.45454545454545453,0.16883567039546246,False,False,False,0
MONSTER HUNTER: WORLD,774,0.05295204214271054,0.6007751937984496,153.6705426356589,107.0,191,0.00863561038482784,0.12144702842377261,0.6059431524547804,0.3037347545219638,0.24202485821743513,0.3979328165374677,0.2887972457134449,0.9687108886107635,0.29092143434876616,0.6382428940568475,0.24031007751937986,0.12144702842377261,342.81007751937983,2018-08-09,2019-02-16,0.0,15,Watchlist,0.5542383154019712,0.554297129880997,0.6590909090909091,0.7272727272727273,0.2727272727272727,0.18195912614517265,False,False,True,1
The Elder Scrolls V: Skyrim Special Edition,977,0.06683998084422248,0.638689866939611,99.96519959058342,47.0,828,0.11638740563432148,0.19140225179119755,6.469805527123849,0.51110747185261,0.48763997437512835,0.6550665301944729,0.5378679411209317,0.9750499001996008,0.5333474414546987,0.7799385875127943,0.12487205731832139,0.09518935516888434,364.3019447287615,2016-10-27,2019-02-02,0.0,16,Watchlist,0.5392075890991873,0.6228885031168743,0.3181818181818182,0.7727272727272727,0.5,0.2421140783474458,False,False,True,1
Beat Saber,10,0.000684134911404529,1.0,57.3,26.5,234,0.042349475234763394,1.0,230.0,0.36597,0.36118876034048275,0.6,0.4328321322383379,0.2857142857142857,0.3784422624240339,0.7,0.1,0.2,637.3,2018-05-04,2018-12-24,1.0,17,Watchlist,0.4914591278681708,0.9067663393636051,0.18181818181818182,0.1590909090909091,0.3181818181818182,0.9818181818181818,True,False,False,1
RESIDENT EVIL 2 / BIOHAZARD RE:2,496,0.033933091605664635,0.9858870967741935,26.850806451612904,21.0,23,0.10436383723071258,0.012096774193548387,11.42741935483871,0.42787641129032256,0.4038192950909644,0.5685483870967742,0.4532380226927073,0.9520153550863724,0.44860502325919505,0.7137096774193549,0.14516129032258066,0.14112903225806453,297.95362903225805,2019-01-24,2019-02-16,0.0,18,Low Priority,0.4840342600554186,0.9052947857469437,0.09090909090909091,0.6363636363636364,0.045454545454545456,0.20725806451612905,False,True,False,1
Insurgency: Sandstorm,208,0.014230006157214203,0.9423076923076923,45.96634615384615,30.0,46,0.0,0.0,0.0,0.5547625,0.5547625,0.7644230769230769,0.6176606730769231,0.8927038626609443,0.5896591324569005,0.8413461538461539,0.07692307692307693,0.08173076923076923,272.4951923076923,2018-12-12,2019-01-27,0.0,19,Low Priority,0.4840209156427984,0.8894104083300735,0.2727272727272727,0.45454545454545453,0.09090909090909091,0.0,False,True,False,1
ACE COMBAT™ 7: SKIES UNKNOWN,8,0.0005473079291236232,1.0,27.375,25.5,5,0.04349106978457006,0.875,295.25,0.50785,0.5122111420636851,0.5,0.5085477994445795,0.24242424242424243,0.39350121993983167,0.75,0.25,0.0,944.75,2019-01-31,2019-02-05,0.0,20,Low Priority,0.41668154131956836,0.9090251829909747,0.13636363636363635,0.09090909090909091,0.0,0.925,True,True,False,2
Overcooked! 2,10,0.000684134911404529,0.9,29.1,20.0,141,0.01161848646658074,1.0,63.1,0.74105,0.7233360382930233,0.9,0.7763352268051162,0.2857142857142857,0.4765860037288277,0.9,0.0,0.1,419.9,2018-08-08,2018-12-27,0.0,21,Low Priority,0.4116344015593998,0.8364879005593242,0.022727272727272728,0.1590909090909091,0.22727272727272727,0.9454545454545454,True,False,False,1
"Warhammer 40,000: Mechanicus",7,0.0004788944379831703,1.0,22.714285714285715,20.0,78,0.007899097772049347,0.7142857142857143,61.285714285714285,0.8129714285714286,0.9360839852176286,0.7142857142857142,0.8695445039380543,0.21875,0.4688740434382559,0.8571428571428571,0.14285714285714285,0.0,2398.714285714286,2018-11-15,2019-02-01,0.0,22,Low Priority,0.3974080950727161,0.9203311065157384,0.022727272727272728,0.022727272727272728,0.18181818181818182,0.7558441558441559,True,True,False,2
Farming Simulator 19,7,0.0004788944379831703,0.42857142857142855,245.71428571428572,75.0,62,0.013772785858957835,0.8571428571428571,106.85714285714286,0.3638571428571429,0.37221908214438254,0.14285714285714285,0.30341050035821066,0.21875,0.34503223015516504,0.5714285714285714,0.42857142857142855,0.0,1455.857142857143,2018-11-19,2019-01-20,0.0,23,Low Priority,0.31678302325197727,0.416040548808989,0.4090909090909091,0.022727272727272728,0.13636363636363635,0.8779220779220779,True,True,True,3
